--- model size ---
model: 55,192,704
======= start training =======
epoch|batch_idx/num_batches|output_dir|batch/s|lr|time|step
epoch: 1 |   3/  6 | logs/44k/diffusion | batch/s: 1.62 | lr: 0.0001 | loss: 0.023 | time: 0:00:06.4 | step: 10
epoch: 3 |   1/  6 | logs/44k/diffusion | batch/s: 2.49 | lr: 0.0001 | loss: 0.011 | time: 0:00:10.4 | step: 20
epoch: 4 |   5/  6 | logs/44k/diffusion | batch/s: 2.41 | lr: 0.0001 | loss: 0.001 | time: 0:00:14.3 | step: 30
epoch: 6 |   3/  6 | logs/44k/diffusion | batch/s: 2.40 | lr: 0.0001 | loss: 0.031 | time: 0:00:18.7 | step: 40
epoch: 8 |   1/  6 | logs/44k/diffusion | batch/s: 2.50 | lr: 0.0001 | loss: 0.012 | time: 0:00:22.7 | step: 50
epoch: 9 |   5/  6 | logs/44k/diffusion | batch/s: 2.40 | lr: 0.0001 | loss: 0.020 | time: 0:00:26.7 | step: 60
epoch: 11 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.021 | time: 0:00:31.1 | step: 70
epoch: 13 |   1/  6 | logs/44k/diffusion | batch/s: 2.49 | lr: 0.0001 | loss: 0.033 | time: 0:00:35.1 | step: 80
epoch: 14 |   5/  6 | logs/44k/diffusion | batch/s: 2.40 | lr: 0.0001 | loss: 0.071 | time: 0:00:39.1 | step: 90
epoch: 16 |   3/  6 | logs/44k/diffusion | batch/s: 2.41 | lr: 0.0001 | loss: 0.015 | time: 0:00:43.5 | step: 100
epoch: 18 |   1/  6 | logs/44k/diffusion | batch/s: 2.46 | lr: 0.0001 | loss: 0.023 | time: 0:00:47.5 | step: 110
epoch: 19 |   5/  6 | logs/44k/diffusion | batch/s: 2.40 | lr: 0.0001 | loss: 0.017 | time: 0:00:51.4 | step: 120
epoch: 21 |   3/  6 | logs/44k/diffusion | batch/s: 2.41 | lr: 0.0001 | loss: 0.006 | time: 0:00:55.8 | step: 130
epoch: 23 |   1/  6 | logs/44k/diffusion | batch/s: 2.49 | lr: 0.0001 | loss: 0.016 | time: 0:00:59.9 | step: 140
epoch: 24 |   5/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.002 | time: 0:01:03.8 | step: 150
epoch: 26 |   3/  6 | logs/44k/diffusion | batch/s: 2.40 | lr: 0.0001 | loss: 0.039 | time: 0:01:08.2 | step: 160
epoch: 28 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.013 | time: 0:01:12.2 | step: 170
epoch: 29 |   5/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.040 | time: 0:01:16.2 | step: 180
epoch: 31 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.013 | time: 0:01:20.6 | step: 190
